%time,field.data
1448552974813201238,9.21841728996e-06
1448552974907998491,9.68210770225e-06
1448552975007981421,9.82598885457e-06
1448552975107721177,9.51471156441e-06
1448552975208209960,9.6406429293e-06
1448552975315181493,9.47452008404e-06
1448552975418363307,9.69323536992e-06
1448552975511659135,9.79986180027e-06
1448552975625705789,9.83741938398e-06
1448552975780848794,9.94519814412e-06
1448552975878198051,9.76266528596e-06
1448552975979871164,1.00073593785e-05
1448552976084935721,1.01757732409e-05
1448552976212123539,1.02298936326e-05
1448552976313973034,1.00280685729e-05
1448552976411970890,1.0143912732e-05
1448552976511462774,9.68060248852e-06
1448552976612003808,9.79454216576e-06
1448552976716760703,9.6596622825e-06
1448552976819750008,9.70101791609e-06
1448552976980984244,9.71717872744e-06
1448552977079292016,9.73116129899e-06
1448552977192135045,9.42938640947e-06
1448552977311986307,9.48540127865e-06
1448552977412903893,9.78324987955e-06
1448552977507981767,9.64023365668e-06
1448552977607987269,9.19320427784e-06
1448552977708051917,9.49976947595e-06
1448552977808270907,9.62267586146e-06
1448552977907502417,9.98590621748e-06
1448552978008423772,9.47726948652e-06
1448552978107586663,9.35537991609e-06
1448552978209278549,9.58769214776e-06
1448552978307835004,9.62897138379e-06
1448552978409138685,9.57104748522e-06
1448552978507801907,9.57979136729e-06
1448552978607985918,9.30967780732e-06
1448552978708012419,9.56041094469e-06
1448552978807989343,9.3918561106e-06
1448552978907869935,9.64266928349e-06
1448552979007968154,9.55468567554e-06
1448552979108012498,9.99688290904e-06
1448552979208445773,9.27361361391e-06
1448552979308262872,9.82611345535e-06
1448552979412262166,9.94749279926e-06
1448552979508655695,9.6362309705e-06
1448552979609158443,9.57624069997e-06
1448552979708601776,9.77824765869e-06
1448552979808299724,9.61786463449e-06
1448552979910704094,9.83330301096e-06
1448552980010989078,1.00191055026e-05
1448552980128513639,1.00590532384e-05
1448552980289803650,9.77622948994e-06
1448552980408883555,9.79318974714e-06
1448552980508428586,9.73230271484e-06
1448552980607756608,9.9012922874e-06
1448552980709588435,9.75267721515e-06
1448552980809014556,9.51051788434e-06
1448552980909789813,9.3878561529e-06
1448552981011227150,9.53127073444e-06
1448552981171889395,9.7083457149e-06
1448552981280405144,9.34211038839e-06
1448552981379353393,9.27012570173e-06
1448552981509500690,9.52115533437e-06
1448552981694303572,9.06467539608e-06
1448552981807726095,9.62238846114e-06
1448552981919504012,9.53204744292e-06
1448552982008393279,9.2025829872e-06
1448552982111893301,9.30401438382e-06
1448552982219210604,9.51062429522e-06
1448552982329639296,9.63391994446e-06
1448552982435775127,9.19564172364e-06
1448552982519177331,9.11253118829e-06
1448552982612649624,9.4624592748e-06
1448552982711164590,9.46374257182e-06
1448552982813673357,9.20132060855e-06
1448552982911578201,9.31861995923e-06
1448552983011467089,9.21880382521e-06
1448552983112765703,9.52283880906e-06
1448552983215742334,9.48483921093e-06
1448552983315112331,9.52408299781e-06
1448552983411303851,9.48962315306e-06
1448552983511497176,9.4913502835e-06
1448552983611947220,9.39540586842e-06
1448552983713105699,9.7579895737e-06
1448552983811762280,9.84848975349e-06
1448552983911707606,9.5044997579e-06
1448552984018163595,9.59653425525e-06
1448552984112402097,9.8102773336e-06
1448552984213143829,9.61773002928e-06
1448552984319132739,9.82106939773e-06
1448552984412823852,9.65374510997e-06
1448552984517951170,9.72856287262e-06
1448552984619847071,9.82611345535e-06
1448552984716536469,9.75612056209e-06
1448552984815170251,9.64931496128e-06
1448552984916092208,9.84288089967e-06
1448552985014662390,9.51135916694e-06
1448552985113776782,9.67344385572e-06
1448552985211694291,9.89326417766e-06
1448552985384986539,9.63907496043e-06
1448552985485437062,9.65651724982e-06
1448552985589237110,9.86627401289e-06
1448552985685003716,9.9346789284e-06
1448552985783063014,1.00764891613e-05
1448552985885035331,9.7228512459e-06
1448552985981338576,1.01201967482e-05
1448552986083553326,1.02552421595e-05
1448552986183163853,9.93948469841e-06
1448552986284267414,9.88586907624e-06
1448552986384641739,9.94459151116e-06
1448552986480510008,9.94500260276e-06
1448552986583572658,1.02602152765e-05
1448552986682065324,1.03049978861e-05
1448552986786989815,1.01061123132e-05
1448552986881566194,9.99590520223e-06
1448552986980731230,1.03452348412e-05
1448552987083861972,1.03574420791e-05
1448552987184792077,1.01927807918e-05
1448552987283867091,9.81562152447e-06
1448552987379070454,9.72207544692e-06
1448552987490259194,1.01646464827e-05
1448552987582489403,9.94798574538e-06
1448552987685136987,1.00103334262e-05
1448552987785856388,9.72936777544e-06
1448552987886111567,1.00662509794e-05
1448552988001462684,9.97740880848e-06
1448552988185505965,1.00375900729e-05
1448552988289289508,9.80584263743e-06
1448552988386041642,9.92755849438e-06
1448552988497293198,1.03047668745e-05
1448552988585429971,9.93601042865e-06
1448552988685113366,9.70050768956e-06
1448552988777739509,9.8381715361e-06
1448552988880463291,9.88682495517e-06
1448552988976307540,9.68057975115e-06
1448552989079367137,9.97629740596e-06
1448552989207688758,9.87131352304e-06
1448552989376704461,9.88789815892e-06
